id,"Use_Case_Name",category,family,description
"1.1","Deploy automated asset discovery tool","1: Inventory of Authorized and Unauthorized Devices",System,"Deploy an automated asset inventory discovery tool and use it to build a preliminary inventory of systems connected to an organizations public and private network(s) Both active tools that scan through IPv4 or IPv6 network address ranges and passive tools that identify hosts based on analyzing their traffic should be employed"
"1.2","DHCP Server Logging","1: Inventory of Authorized and Unauthorized Devices",System,"If the organization is dynamically assigning addresses using DHCP then deploy dynamic host configuration protocol(DHCP) server logging and use this information to improve the asset inventory and help detect unknown systems"
"1.3","Automatically Update Inventory System","1: Inventory of Authorized and Unauthorized Devices",System,"Ensure that all equipment acquisitions automatically update the inventory system as new approved devices are connected to the network"
"1.4","Maintain an Asset Inventory","1: Inventory of Authorized and Unauthorized Devices",System,"Maintain an asset inventory of all systems connected to the network and the network devices themselves recording at least the network addresses machine name(s) purpose of each system an asset owner responsible for each device and the department associated with each device The inventory should include every system that has an Internet protocol (IP) address on the network including but not limited to desktops laptops servers network equipment (routers switches firewalls etc) printers storage area networks Voice Over-IP telephones multi-homed addresses virtual addresses etc  The asset inventory created must also include data on whether the device is a portable andor personal device Devices such as mobile phones tablets laptops and other portable electronic devices that store or process data must be identified regardless of whether they are attached to the organizations network"
"1.5","Deploy Network Level Authentication via 802.1x","1: Inventory of Authorized and Unauthorized Devices",System,"Deploy network level authentication via 8021x to limit and control which devices can be connected to the network  The 8021x must be tied into the inventory data to determine authorized versus unauthorized systems"
"1.6","Use Client Certificates to validate and authenticate","1: Inventory of Authorized and Unauthorized Devices",System,"Use client certificates to validate and authenticate systems prior to connecting to the private network"
"2.1","Devise a List of Authorized Software and Monitor for Modification","2: Inventory of Authorized and Unauthorized Software",System,"Devise a list of authorized software and version that is required in the enterprise for each type of system including servers workstations and laptops of various kinds and uses  This list should be monitored by file integrity checking tools to validate that the authorized software has not been modified"
"2.2","Deploy Application Whitelisting","2: Inventory of Authorized and Unauthorized Software",System,"Deploy application whitelisting technology that allows systems to run software only if it is included on the whitelist and prevents execution of all other software on the system The whitelist may be very extensive (as is available from commercial whitelist vendors) so that users are not inconvenienced when using common software Or for some special-purpose systems (which require only a small number of programs to achieve their needed business functionality) the whitelist may be quite narrow"
"2.3","Deploy Software Inventory Tools","2: Inventory of Authorized and Unauthorized Software",System,"Deploy software inventory tools throughout the organization covering each of the operating system types in use including servers workstations and laptops The software inventory system should track the version of the underlying operating system as well as the applications installed on it The software inventory systems must be tied into the hardware asset inventory so all devices and associated software are tracked from a single location"
"2.4","Isolate High-Risk Applications with Virtual Machines or Air Gaps","2: Inventory of Authorized and Unauthorized Software",System,"Virtual machines andor air-gapped systems should be used to isolate and run applications that are required for business operations but based on higher risk should not be installed within a networked environment "
