"cron_schedule","cron_schedule_described"
"* * * * *","Every minute"
"* * * * * *","Every second"
"* */1 * * *","Every minute"
"* */2 * * *","Every minute, every 2 hours"
"* 0-5 * * *","Every minute, between 12:00 AM and 05:59 AM"
"* 0-7,13-23 * * 0,6","Every minute, at 12:00 AM through 07:59 AM and 01:00 PM through 11:59 PM,  only on Sunday and Saturday"
"* 0-7,20-23 * * 1-5","Every minute, at 12:00 AM through 07:59 AM and 08:00 PM through 11:59 PM,  Monday through Friday"
"* 1-5 * * *","Every minute, between 01:00 AM and 05:59 AM"
"* 1-6 * * *","Every minute, between 01:00 AM and 06:59 AM"
"* 14 * *  *","Every minute, between 02:00 PM and  02:59 PM"
"* 14 * * *","Every minute, between 02:00 PM and 02:59 PM"
"* 15 * * *","Every minute, between 03:00 PM and 03:59 PM"
"* 2 * * * *","Every second, at 2 minutes past the hour"
"* 3-8 * * *","Every minute, between 03:00 AM and 08:59 AM"
"*/02 * * * *","Every 02 minutes"
"*/05 * * * *","Every 05 minutes"
"*/1 * * * *","Every minute"
"*/10 * * * *","Every 10 minutes"
"*/11 * * * *","Every 11 minutes"
"*/12 * 04-06 * *","Every 12 minutes, between day 04 and 06 of the month"
"*/15  0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20 * * 1-5","Every 15 minutes, at 12:00 AM, 01:00 AM, 02:00 AM, 03:00 AM, 04:00 AM,  05:00 AM, 06:00 AM, 07:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 01:00 PM, 02:00  PM, 03:00 PM, 04:00 PM, 05:00 PM, 06:00 PM, 07:00 PM, and 08:00 PM, Monday  through Friday"
"*/15  0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20 * * 1-5","Every 15 minutes, at 12:00 AM, 01:00 AM, 02:00 AM, 03:00 AM, 04:00 AM,  05:00 AM, 06:00 AM, 07:00 AM, 09:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 01:00  PM, 02:00 PM, 03:00 PM, 04:00 PM, 05:00 PM, 06:00 PM, 07:00 PM, and 08:00 PM,  Monday through Friday"
"*/15 * * * *","Every 15 minutes"
"*/15 * * * 0-6","Every 15 minutes, Sunday through Saturday"
"*/15 * * * 1","Every 15 minutes, only on Monday"
"*/15 0-16 * * *","Every 15 minutes, between 12:00 AM and 04:59 PM"
"*/15 09-18 * * *","Every 15 minutes, between 09:00 AM and 06:59 PM"
"*/15 12-20 * * *","Every 15 minutes, between 12:00 PM and 08:59 PM"
"*/15 4-14 * * 1-5","Every 15 minutes, between 04:00 AM and 02:59 PM, Monday through Friday"
"*/15 9-18 * * *","Every 15 minutes, between 09:00 AM and 06:59 PM"
"*/16 * * * *","Every 16 minutes"
"*/2 * * * *","Every 2 minutes"
"*/20 * * * *","Every 20 minutes"
"*/20 4-19 * * *","Every 20 minutes, between 04:00 AM and 07:59 PM"
"*/20 7-21 * * 1-5","Every 20 minutes, between 07:00 AM and 09:59 PM, Monday through Friday"
"*/20 9-21 * * 1-5","Every 20 minutes, between 09:00 AM and 09:59 PM, Monday through Friday"
"*/3 * * * *","Every 3 minutes"
"*/3 2 * * *","Every 3 minutes, between 02:00 AM and 02:59 AM"
"*/30 * * * *","Every 30 minutes"
"*/30 * * * 1-5","Every 30 minutes, Monday through Friday"
"*/30 08-22 01-09 * *","Every 30 minutes, between 08:00 AM and 10:59 PM, between day 01 and 09 of  the month"
"*/30 21-23 * * 1-5","Every 30 minutes, between 09:00 PM and 11:59 PM, Monday through Friday"
"*/30 5-10 * * *","Every 30 minutes, between 05:00 AM and 10:59 AM"
"*/30 6-23,0 * * 1-5","Every 30 minutes, at 06:00 AM through 11:59 PM and 12:00 AM, Monday  through Friday"
"*/30 8-10 * * 1-6","Every 30 minutes, between 08:00 AM and 10:59 AM, Monday through Saturday"
"*/30 9-16 * * 1-5","Every 30 minutes, between 09:00 AM and 04:59 PM, Monday through Friday"
"*/30 9-22 * * 1-5","Every 30 minutes, between 09:00 AM and 10:59 PM, Monday through Friday"
