"Index_Name",App,"Index_Type","Data_Source","Used_By",Retention,"Index_Description"
"_audit",system,event,Splunk,"Internal Indexes",365,"Contains events related to the file system change monitor, auditing, and all user search history."
"_internal",system,event,Splunk,"Internal Indexes",90,"Stores Splunk Enterprise internal logs and processing metrics."
"_introspection",system,event,Splunk,"Internal Indexes",90,"Tracks system performance and Splunk resource usage data.  Generates data about your Splunk instance and environment and writes that data to log files to aid in reporting on system resource utilization and troubleshooting problems with your Splunk Enterprise deployment."
"_telemetry",system,event,Splunk,"Internal Indexes",7,"After license usage reporting is enabled, the first time product instrumentation runs, it creates a new file in $SPLUNK_HOME/var/log/splunk. The file is called license_usage_summary.log and is limited in size to 25 MB.  The file is indexed to a new internal index _telemetry.  The _telemetry index is retained for two years by default and is limited in size to 256 MB."
"_metrics",system,metric,Splunk,"Internal Indexes",90,"New _metrics Index"
"_internal_forwarder",system,event,Splunk,"Internal Indexes",90,"https://www.rfaircloth.com/2019/03/20/redirecting-_internal-for-a-large-uf-deployment"
main,system,event,Splunk,"Default Indexes",90,"This is the default Splunk Enterprise index. All processed data is stored here unless otherwise specified."
summary,system,event,Splunk,"Default Indexes",30,"In Splunk, summary indexing is an alert option for scheduled saved searches. When you run a saved search with summary indexing turned on, its search results are temporarily stored in a file ($SPLUNK_HOME/var/spool/splunk/<savedsearch_name>_<random-number>.stash). From the file, Splunk uses the addinfo command to add general information about the current search and the fields you specify during configuration to each result. Splunk then indexes the resulting event data in the summary index that you've designated for it (index=summary by default).  Note: Use the addinfo command to add fields containing general information about the current search to the search results going into a summary index. General information added about the search helps you run reports on results you place in a summary index."
"add_on_builder_index","splunk_app_addon-builder",event,Splunk,"Default Indexes",30,"Index for Splunk Add-On Builder. This is used to index manual log file upload for TA development."
dbx,DBConnect,event,Splunk,"Default Indexes",30,
eventgen,"SA-Eventgen",event,Splunk,"Default Indexes",30,
"access_summary","SA-AccessProtection",event,Splunk,"Splunk Enterprise Security Indexes",30,"Created/used by ES"
"access_summary2","SA-AccessProtection",event,Splunk,"Splunk Enterprise Security Indexes",30,"Created/used by ES"
"audit_summary","SA-AuditAndDataProtection",event,Splunk,"Splunk Enterprise Security Indexes",30,"Created/used by ES"
"audit_summary2","SA-AuditAndDataProtection",event,Splunk,"Splunk Enterprise Security Indexes",30,"Created/used by ES product"
"endpoint_summary","SA-EndpointProtection",event,Splunk,"Splunk Enterprise Security Indexes",30,"Endpoint protection summary index."
"endpoint_summary2","SA-EndpointProtection",event,Splunk,"Splunk Enterprise Security Indexes",30,"Created/used by ES product"
"gia_summary","DA-ESS-ThreatIntelligence",event,Splunk,"Splunk Enterprise Security Indexes",30,
ioc,"DA-ESS-ThreatIntelligence",event,Splunk,"Splunk Enterprise Security Indexes",30,
"network_summary","SA-NetworkProtection",event,Splunk,"Splunk Enterprise Security Indexes",30,"Created/used by ES"
"network_summary2","SA-NetworkProtection",event,Splunk,"Splunk Enterprise Security Indexes",30,"Created/used by ES"
"network_summary3","SA-NetworkProtection",event,Splunk,"Splunk Enterprise Security Indexes",30,"Created/used by ES"
notable,"SA-ThreatIntelligence",event,Splunk,"Splunk Enterprise Security Indexes",365,"Contains the notable events."
