"srch_num","srch_nme","srch_tag","srch_cat","srch_des","srch_str","srch_sts","_key"
"GMC-001","Get execution metrics on Dashboards","health_assessments,tracking",Dashboards,,"index=`setup_summary_index` source=splunk_internal_web_access_idx_summary_tracker earliest=-7d@d
| `get_shcluster_label(Splunk_Instance)` 
| search shcluster_label=""*"" 
| `get_dashboards_info(shcluster_label,app,Dashboard_Name)` 
| `get_identity_info(user)`
| search emp_name=""*"" AND app=""*""",,5ff21b77edc6575d273a0a01
"GMC-002A","Jobs running for > Nm and investigate if Min_Result_Count & Max_Result_Count are both zero!","health_assessments","Scheduled_Jobs","","index=`setup_summary_index` source=splunk_internal_scheduler_jobs_idx_summary_tracker total_run_time>900 earliest=-7d@d 
| fields _time Splunk_Instance app total_run_time result_count savedsearch_name user 
| `get_shcluster_label(Splunk_Instance)` 
| fields - Splunk_Instance 
| stats Max(total_run_time) as Max_total_run_time Min(total_run_time) As Min_total_run_time Min(result_count) As Min_result_count Max(result_count) As Max_result_count count As Num_Executions by shcluster_label app user savedsearch_name 
| eval Run_Tume_Human=Max_total_run_time 
| `gmc_convert_runtime(Run_Tume_Human)` 
| `get_saved_searches_info(shcluster_label,app,savedsearch_name)` 
| eval dispatch_earliest_time=if(dispatch_earliest_time=1,""All-Time"", dispatch_earliest_time ) 
| lookup splunk_rest_data_macros_sh_kv_store_lookup shcluster_label app As app title As Macro_Reference OUTPUT definition 
| table shcluster_label app user savedsearch_name Num_Executions Min_result_count Max_result_count Min_total_run_time Max_total_run_time Run_Tume_Human savedsearch_type description author sharing cron_schedule realtime_schedule schedule_priority schedule_window updated allow_skew correlationsearch_enabled correlationsearch_label dispatch_auto_cancel dispatch_earliest_time dispatch_latest_time savedsearch_search Lookup_Reference Datamodel_Reference Macro_Reference Index_Reference Sourcetype_Reference Source_Reference Eventtype_Reference Rest_Reference",0,5ff21b77edc6575d273a0a02
"GMC-003","Jobs drifting or changing state",changes,"Scheduled_Jobs",,"index=`setup_summary_index` source=splunk_rest_saved_searches_sh_summary_data shcluster_label=""*"" updated>0 earliest=-7d@d
| stats list(is_scheduled) As is_scheduled list(disabled) As disabled dc(is_scheduled) As dc_is_scheduled list(updated) as updated by shcluster_label app author savedsearch_name 
| eval updated_human=updated 
| convert ctime(updated_human) 
| where dc_is_scheduled >1",0,5ff21b77edc6575d273a0a03
"GMC-004","Report on highest number of events by sourcetype enriched with sourcetype metadata","health_assessments",Sourcetypes,,"| metadata type=sourcetypes index=* 
| `get_sourcetype_info(sourcetype)` 
| table sourcetype totalCount firstTime lastTime recentTime author app sharing category rename SHOULD_LINEMERGE LINE_BREAKER TIME_PREFIX TIME_FORMAT MAX_TIMESTAMP_LOOKAHEAD TRUNCATE TZ KV_MODE EVENT_BREAKER_ENABLE EVENT_BREAKER DATETIME_CONFIG INDEXED_EXTRACTIONS LEARN_SOURCETYPE TRANSFORMS updated 
| sort 0 - totalCount",0,5ff21b77edc6575d273a0a04
"GMC-005","Daily Total Index Size by Cluster By Index Over Time Trellis View report","health_assessments,indexes",Licensing,,"index=`setup_summary_index` source=splunk_internal_index_license_usage_idx_summary_tracker Index_Name=""*"" idxcluster_label=""*"" earliest=-7d@d
| fields _time search_name idxcluster_label Lic_Pool Lic_Pool_Size type Index_Name Lic_Sourcetype Lic_Source Lic_Host License_Usage 
| makemv delim=""|"" Lic_Sourcetype 
| makemv delim=""|"" Lic_Source 
| makemv delim=""|"" Lic_Host 
| `gmc_byte2mb(License_Usage)` 
| `gmc_byte2gb(License_Usage)` 
| `gmc_byte2tb(License_Usage)` 
| where License_Usage_MB>=0 
| bin _time span=1d 
| stats 
    sum(License_Usage) AS License_Usage
    by _time idxcluster_label Index_Name 
| timechart
    sum(License_Usage) AS License_Usage
    by Index_Name fixedrange=f span=1d 
| foreach ""*"" 
    [ eval <<FIELD>>=round('<<FIELD>>'/1024/1024/1024, 3)]",0,5ff21b77edc6575d273a0a05
"GMC-006","Jobs Drifited from golden configuration",changes,"Scheduled_Jobs",,"index=`setup_summary_index` source=""splunk_rest_saved_searches_sh_summary_data"" earliest=-30d@d latest=-7d@d 
| fields shcluster_label app savedsearch_name savedsearch_type description author disabled is_scheduled sharing cron_schedule realtime_schedule schedule_priority schedule_window updated allow_skew acl_perms_read acl_perms_write correlationsearch_enabled dispatch_earliest_time dispatch_latest_time savedsearch_search 
| rename 
    updated as old_updated
    disabled AS old_disabled
    is_scheduled as old_is_scheduled 
    cron_schedule as old_cron_schedule 
    dispatch_earliest_time as old_dispatch_earliest_time
    dispatch_latest_time as old_dispatch_latest_time 
    schedule_priority as old_schedule_priority 
    schedule_window as old_schedule_window
    allow_skew as old_allow_skew
    realtime_schedule as old_realtime_schedule 
    savedsearch_type as old_savedsearch_type 
    savedsearch_search as old_savedsearch_search 
| stats latest(*) as * by shcluster_label app savedsearch_name 
| join shcluster_label app savedsearch_name 
    [ search index=`setup_summary_index` source=""splunk_rest_saved_searches_sh_summary_data"" earliest=-7d@d 
    | fields shcluster_label app savedsearch_name savedsearch_type description author disabled is_scheduled sharing cron_schedule realtime_schedule schedule_priority schedule_window updated allow_skew acl_perms_read acl_perms_write correlationsearch_enabled dispatch_earliest_time dispatch_latest_time savedsearch_search 
    | rename 
        updated AS new_updated
        disabled as new_disabled 
        is_scheduled as new_is_scheduled
        cron_schedule as new_cron_schedule 
        dispatch_earliest_time as new_dispatch_earliest_time 
        dispatch_latest_time as new_dispatch_latest_time 
        schedule_priority as new_schedule_priority
        schedule_window as new_schedule_window 
        allow_skew as new_allow_skew
        realtime_schedule as new_realtime_schedule 
        search as new_savedsearch_search
        savedsearch_type as new_savedsearch_type 
        savedsearch_search as new_savedsearch_search 
    | stats latest(*) as * by shcluster_label app savedsearch_name ] 
| where old_disabled!=new_disabled OR old_is_scheduled!=new_is_scheduled OR old_cron_schedule!=new_cron_schedule 
| convert ctime(*_updated) 
| table shcluster_label app savedsearch_name old_updated new_updated old_disabled new_disabled old_is_scheduled new_is_scheduled old_cron_schedule new_cron_schedule",0,5ff21b77edc6575d273a0a06
"GMC-007","Find users with empty LOB information",identities,Dashboards,,"| tstats SUMMARIESONLY=TRUE ALLOW_OLD_SUMMARIES=FALSE
count
    FROM DATAMODEL=GMC
    WHERE nodename=Search_Activity.Audit_Search
    BY host Search_Activity.Audit_Search.user1 
| `gmc_drop_dm_object_name(Search_Activity.Audit_Search)` 
| rename user1 As user 
| `get_shcluster_info(host)` 
| `get_identity_info(shcluster_label,user)` 
| `get_identity_info(user)` 
| table shcluster_label user emp_name emp_lob emp_dep 
| where isnull(emp_lob) 
| stats count by user 
| search NOT 
    [| inputlookup splunk_identities_exceptions_sh_csv_lookup 
    | fields identity 
    | rename identity As user] 
| rename user as identity 
    `gmc_comment(""| outputlookup append=true splunk_identities_exceptions_sh_csv_lookup"")`",0,5ff21b77edc6575d273a0a07
"GMC-008","Generate Random Daily License Usage Data for ML Forecasting",license,"Indexer_Cluster",,"| gentimes start=1/1/2019 end=08/30/2020 increment=1d 
    | fields starthuman endhuman 
| eval _time=strptime(starthuman,""%a %B %d %H:%M:%S.%N %Y"") 
| eval low = 1073741824 , high = 2147483648 , idxcluster_label=""org_idx_cluster1"", Lic_Stack_Size=53687091200 
| eval Lic_Pool=mvappend(""IDX1_Pool"",""IDX2_Pool"",""IDX3_Pool"") 
| eval License_Usage = round(((random() % high)/(high)) * (high - low) + low) 
| stats 
    sum(License_Usage) AS License_Usage 
    latest(Lic_Stack_Size) AS Lic_Stack_Size
    BY _time idxcluster_label Lic_Pool 
| eval type=""RolloverSummary"" 
| table _time idxcluster_label Lic_Pool type Lic_Stack_Size License_Usage 
| collect index=`setup_summary_index` testmode=true source=splunk_internal_license_rollover_summary_idx_summary_tracker sourcetype=splunk_internal_license_rollover_summary_idx_summary_tracker",0,5ff21b77edc6575d273a0a08
"GMC-009","Users Logged into the Platform Today","access,health_assessments",Dashboards,"","index=`setup_summary_index` source=""splunk_audit_user_login_idx_summary_tracker"" 
| makemv delim=""|"" Splunk_Instance 
| makemv delim=""|"" Login_Source 
| makemv delim=""|"" OS_Name 
| makemv delim=""|"" OS_Version 
| makemv delim=""|"" Browser_Name 
| makemv delim=""|"" Browser_Version 
| fields _time Splunk_Instance user Login_Source Latest_Access OS_Name OS_Version Browser_Name Browser_Version 
| `get_shcluster_label(Splunk_Instance)` 
| `get_identity_info(shcluster_label,user)` 
| stats 
    latest(Login_Source) as Login_Source 
    latest(OS_Name) as OS_Name 
    latest(OS_Version) as OS_Version 
    latest(emp_name) as Name 
    latest(Browser_Name) as Browser_Name 
    latest(Browser_Version) as Browser_Version
    latest(emp_city) as emp_city
    latest(emp_region1) as emp_region1
    latest(emp_country) as emp_country
    By shcluster_label user 
| `strftime_format(Latest_Access)` 
| `get_iplocation_info2(Login_Source)` 
| table shcluster_label  Name user emp_city emp_region1 emp_country",0,5ff21b77edc6575d273a0a09
"GMC-011","Dashboard Accessed in the last (30) Days","access,health_assessments",Dashboards,,"index=`setup_summary_index` source=splunk_internal_web_access_idx_summary_tracker earliest=-30d app!=""global_monitoring_console"" NOT Dashboard_Name IN (home,setup)
| fields _time user Splunk_Instance app OS_Name avg_spent Dashboard_Name Latest_Access 
| `get_shcluster_label(Splunk_Instance)` 
| `get_identity_info(shcluster_label, user)` 
| stats 
    Dc(user) As Num_users 
    Values(emp_lob) As emp_lob1 
    Values(emp_dep) As emp_dep
    Latest(_time) As _time
    By shcluster_label app Dashboard_Name 
| table  shcluster_label app Dashboard_Name _time emp_name emp_title emp_dep emp_lob1 emp_type emp_status Num_users 
| `strftime_format(_time)` 
| `rename_identity_fields` 
| `rename_common_fields`",0,5ff21b77edc6575d273a0a0b
