"Use_Case_Number","Use_Case_Name","Application_Context"
UCCUS001,".txt File Written to USB by cmd wscript or powershell - CTI","DA-ESS-UseCases"
UCCUS002,"1st / 2nd cleaning attempts failed","DA-ESS-UseCases"
UCCUS003,"1st / 2nd cleaning attempts failed - critical user","DA-ESS-UseCases"
UCCUS004,"A Member was Added to Gold Card Admin Group","DA-ESS-UseCases"
UCCUS005,"A Member was Added to Red Card Admins Group","DA-ESS-UseCases"
UCCUS006,"A Windows Event Log Was Cleared - Critical Assets","DA-ESS-UseCases"
UCCUS007,"A member was added to the Domain Admins group","DA-ESS-UseCases"
UCCUS008,"A member was added to the Enterprise Admins Group","DA-ESS-UseCases"
UCCUS009,"A member was added to the Schema Admins Group","DA-ESS-UseCases"
UCCUS010,"A member was added to the Silver Card Admins group","DA-ESS-UseCases"
UCCUS011,"A member was removed from Gold Card Admins Group","DA-ESS-UseCases"
UCCUS012,"A member was removed from Red Card Admins Group","DA-ESS-UseCases"
UCCUS013,"A member was removed from Silver Card Admins Group","DA-ESS-UseCases"
UCCUS014,"A member was removed from the Domain Admins Group","DA-ESS-UseCases"
UCCUS015,"A member was removed from the Enterprise Admins Group","DA-ESS-UseCases"
UCCUS016,"A member was removed from the Schema Admins group","DA-ESS-UseCases"
UCCUS017,"A user was added to the Domain Admins Group","DA-ESS-UseCases"
UCCUS018,"ACT-DataBreach Excessive outbound email connections denied","DA-ESS-UseCases"
UCCUS019,"ACT-PrivEsc User added to domain admin group","DA-ESS-UseCases"
UCCUS020,"AD - Default account login failure","DA-ESS-UseCases"
UCCUS021,"AD - Disabled account re-enabled","DA-ESS-UseCases"
UCCUS022,"AD - Excessive failed local logons - high value system","DA-ESS-UseCases"
UCCUS023,"AD - Excessive failed logons","DA-ESS-UseCases"
UCCUS024,"AD - Excessive failed logons - multiple accounts from same host","DA-ESS-UseCases"
UCCUS025,"AD - Excessive failed logons, critical / high priority user","DA-ESS-UseCases"
UCCUS026,"AD - Kerberoasting - SPN Scanning Activity Detected - CTI","DA-ESS-UseCases"
UCCUS027,"AD - Logon to multiple non-servers - insider threat","DA-ESS-UseCases"
UCCUS028,"AD - Successful Interactive logons - service accounts","DA-ESS-UseCases"
UCCUS029,"AD - Unusually High Number of Successful Network Logon Events","DA-ESS-UseCases"
UCCUS030,"AD - Unusually high number of additions to admin groups - CTI","DA-ESS-UseCases"
UCCUS031,"AD - local account created on multiple critical or high systems","DA-ESS-UseCases"
UCCUS032,"AD - local account created on multiple high or critical systems","DA-ESS-UseCases"
UCCUS033,"AD - logon attempt from disabled account","DA-ESS-UseCases"
UCCUS034,"AD - logon attempt from disabled account - critical account","DA-ESS-UseCases"
UCCUS035,"AD - non domain joined system attempting access to domain","DA-ESS-UseCases"
UCCUS036,"AD - user added to Domain Admin group","DA-ESS-UseCases"
UCCUS037,"AD Groups for ES","DA-ESS-UseCases"
UCCUS038,"AD Insider threat for 50+ endpoints","DA-ESS-UseCases"
UCCUS039,"AD excessive failed logons - multiple accounts from same host","DA-ESS-UseCases"
UCCUS040,"ADFS Brute Force","DA-ESS-UseCases"
UCCUS041,"ADP - Brute Force Behavior Detected","DA-ESS-UseCases"
UCCUS042,"ADP server - Unauthorized application installed","DA-ESS-UseCases"
UCCUS043,"ADP server object deleted","DA-ESS-UseCases"
UCCUS044,"ADP service has stopped running","DA-ESS-UseCases"
UCCUS045,"ASA Boot or reload","DA-ESS-UseCases"
UCCUS046,"ASA Crash recovery","DA-ESS-UseCases"
UCCUS047,"ASA Service Crash","DA-ESS-UseCases"
UCCUS048,"ASA Service Stopped","DA-ESS-UseCases"
UCCUS049,"ASA Suspicious File Executed","DA-ESS-UseCases"
UCCUS050,"ASA Write config","DA-ESS-UseCases"
UCCUS051,"ASA application crash","DA-ESS-UseCases"
UCCUS052,"Abnormal Malicious referrals from a single Site","DA-ESS-UseCases"
UCCUS053,"Abnormal document egress via web upload","DA-ESS-UseCases"
UCCUS054,"Abnormal email attachments","DA-ESS-UseCases"
UCCUS055,"Abnormal number of Http/s request for an App","DA-ESS-UseCases"
UCCUS056,"Abnormal user agent strings by user or IP","DA-ESS-UseCases"
UCCUS057,"Abnormally large outbound DNS packets","DA-ESS-UseCases"
UCCUS058,"Access - by Non Standard ID","DA-ESS-UseCases"
UCCUS059,"Access to Restricted Machines from Non-US Soil","DA-ESS-UseCases"
UCCUS060,"Account - Brute force attempt","DA-ESS-UseCases"
UCCUS061,"Account - User added to privileged group","DA-ESS-UseCases"
UCCUS062,"Account Lockout of CXO ID's","DA-ESS-UseCases"
UCCUS063,"Account Logon from Multiple Sources","DA-ESS-UseCases"
UCCUS064,"Account harvesting Detected","DA-ESS-UseCases"
UCCUS065,"Account lockout anomalies","DA-ESS-UseCases"
UCCUS066,"ActiveSync - Remote Device Wipes","DA-ESS-UseCases"
UCCUS067,"ActiveSync - Sync Events over Time","DA-ESS-UseCases"
UCCUS068,"ActiveSync - Top Device Types","DA-ESS-UseCases"
UCCUS069,"ActiveSync - Top Users by Device and Sync Events","DA-ESS-UseCases"
UCCUS070,"ActiveSync - Top Users by Sync Events","DA-ESS-UseCases"
UCCUS071,"ActiveSync - User-initiated Device Wipe Requests","DA-ESS-UseCases"
UCCUS072,"Activity from known malicious duo phone number","DA-ESS-UseCases"
UCCUS073,"Activity on High Ports","DA-ESS-UseCases"
UCCUS074,"Activity performed by privileged account","DA-ESS-UseCases"
UCCUS075,"Adhoc Report - Access to Suspicious site observed.","DA-ESS-UseCases"
UCCUS076,"Admin Account (-3) workstation with SEP events","DA-ESS-UseCases"
UCCUS077,"Admin Phishing Email Infection","DA-ESS-UseCases"
UCCUS078,"Admin Security - DCS Non Admin Account Login","DA-ESS-UseCases"
UCCUS079,"Admin Security - SCOM Jump-server bypass by Admin","DA-ESS-UseCases"
UCCUS080,"Admin Security - Unauthorized Admin Account Usage","DA-ESS-UseCases"
UCCUS081,"Admin Security - vCenter Unauthorized Admin Account Access","DA-ESS-UseCases"
UCCUS082,"Admin account (-3,-4,-5) browsing malicious or suspicious bluecoat category","DA-ESS-UseCases"
UCCUS083,"Admin account (-3,-4,-5) browsing to a Bluecoat uncategorized site - CTI","DA-ESS-UseCases"
UCCUS084,"Administrator interactive login with no traces of Lan/VPN Access to network","DA-ESS-UseCases"
UCCUS085,"Alert Ticket Has Been Updated","DA-ESS-UseCases"
UCCUS086,"Allow All Temp - Online Storage & Web Based Email","DA-ESS-UseCases"
UCCUS087,"Allow All Temp Rule Traffic","DA-ESS-UseCases"
UCCUS088,"An Object was deleted From Domain Controllers","DA-ESS-UseCases"
UCCUS089,"Anomali Threat Intelligence Activity Match-DNS-DM","DA-ESS-UseCases"
UCCUS090,"Anomali Threat Intelligence Activity Match-IDS-DM","DA-ESS-UseCases"
UCCUS091,"Anomali Threat Intelligence Activity Match-Network-DM","DA-ESS-UseCases"
UCCUS092,"Anomali Threat Intelligence Activity Match-Web-DM","DA-ESS-UseCases"
UCCUS093,"Anomalies in average size of data transferred outbound by user","DA-ESS-UseCases"
UCCUS094,"Anomalous DNS response","DA-ESS-UseCases"
UCCUS095,"Anomalous FTP transfers","DA-ESS-UseCases"
UCCUS096,"Anomalous Host Behavior Detected","DA-ESS-UseCases"
UCCUS097,"Anomalous Host Behaviour Detected","DA-ESS-UseCases"
UCCUS098,"Anomalous Update Service Detected - in Category","DA-ESS-UseCases"
UCCUS099,"Anomalous file uploaded externally","DA-ESS-UseCases"
UCCUS100,"Apache Jakarta Attack","DA-ESS-UseCases"
UCCUS1000,"Scheduled task created","DA-ESS-UseCases"
UCCUS1001,"SecKit Malware Tracker - Lookup Gen","DA-ESS-UseCases"
UCCUS1002,"SecKit Malware Tracker - Lookup Gen v1","DA-ESS-UseCases"
UCCUS1003,"Secondary ISX and MTO Firewalls not reporting","DA-ESS-UseCases"
UCCUS1004,"Security access granting by non-admin accounts","DA-ESS-UseCases"
UCCUS1005,"Senior Leadership Phishing Email Infection","DA-ESS-UseCases"
UCCUS1006,"Service Brute Force Attack","DA-ESS-UseCases"
UCCUS1007,"Service account access to the Internet","DA-ESS-UseCases"
UCCUS1008,"Service accounts used for interactive logon","DA-ESS-UseCases"
UCCUS1009,"Service crash on Critical System - CTI","DA-ESS-UseCases"
UCCUS101,"AppLocker - All Applications Blocked By Count of Unique Machines","DA-ESS-UseCases"
UCCUS1010,"Several SLT and Admin Lockouts","DA-ESS-UseCases"
UCCUS1011,"Severity Levels","DA-ESS-UseCases"
UCCUS1012,"Short File Names Written to USB - CTI","DA-ESS-UseCases"
UCCUS1013,"Short Lived AD Account","DA-ESS-UseCases"
UCCUS1014,"Short Lived AD Account - Created and Deleted in 3 Hour Window","DA-ESS-UseCases"
UCCUS1015,"Short lived Account Detected - CTI","DA-ESS-UseCases"
UCCUS1016,"Significant Change in Volume of Data Indexed Alert","DA-ESS-UseCases"
UCCUS1017,"Significant SPAM/Phishing campaign","DA-ESS-UseCases"
UCCUS1018,"Significant deviation from baseline in file transfer parameters","DA-ESS-UseCases"
UCCUS1019,"Similar infection detected on multiple machines","DA-ESS-UseCases"
UCCUS102,"AppLocker - All EXE Applications Blocked By Count of Unique Machines","DA-ESS-UseCases"
UCCUS1020,"Single Character Executable","DA-ESS-UseCases"
UCCUS1021,"Single Destination & Different TCP port","DA-ESS-UseCases"
UCCUS1022,"Single Different Destination - External Attack","DA-ESS-UseCases"
UCCUS1023,"Single Source Scanning Multiple DestIPs with Different DestPorts","DA-ESS-UseCases"
UCCUS1024,"Single Source Scanning Multiple DestIPs with same DestPort","DA-ESS-UseCases"
UCCUS1025,"Siteprotector Logs reduced","DA-ESS-UseCases"
UCCUS1026,"Siteprotector is not sending the logs - Last 60 min","DA-ESS-UseCases"
UCCUS1027,"Skipped Search Count","DA-ESS-UseCases"
UCCUS1028,"Skipped Search Details","DA-ESS-UseCases"
UCCUS1029,"Skipped search detail by Reason","DA-ESS-UseCases"
UCCUS103,"AppLocker - All Usernames Blocked By Count of Unique Machines","DA-ESS-UseCases"
UCCUS1030,"Software Protection service stopped for an application","DA-ESS-UseCases"
UCCUS1031,"Sourcefire - High fidelity events","DA-ESS-UseCases"
UCCUS1032,"Splunk - PROD Events - Last 24h","DA-ESS-UseCases"
UCCUS1033,"Splunk Report: Inactive Account Usage","DA-ESS-UseCases"
