Use_Case_Number,Use_Case_Name,Description,Application_Context,Data_Model,Data_Source,Data_Enrichment,Adoption_Phase,Use_Case_Collection
UC0001,Detection of new/prohibited web application,"Prohibited web applications such as file sharing platforms (i.e. Box, Dropbox, etc.), and games can be detected, and filtered by modern web proxy solutions/next generation firewalls. Existing exceptions, or new application instances should be reviewed to ensure appropriate usage.",Splunk_Professional_Services,Web,DS005WebProxyRequest-ET01RequestedWebAppAware,DE001AssetInformation DE002IdentityInformation DDE005 Prohibited Network Protocol/Application List DDE006 Acceptable Network Protocol/Application List,Maturing,Recommended Custom Use Cases
UC0002,Detection of prohibited protocol (application),"Prohibited protocols such as IRC, FTP, or Gopher could indicate malicious activity on insecure systems located on the network. Consider Intra-network communication, and organization accepted communications from the Internet.",Splunk_Professional_Services,Network Traffic,DS010NetworkCommunication-ET01TrafficAppAware,DE001AssetInformation DDE005 Prohibited Network Protocol/Application List,Essential,Recommended Custom Use Cases
UC0003,Server generating email outside of approved usage,"Server Operating Systems, and Application services often generate e-mail to support general purpose, or application specific functions. Configuration management is often used to identify servers generating e-mails, as well as maintaining recipient lists.

Identify servers receiving e-mail from the internet without approval
Identify servers sending e-mail to the internet without approval
Identify servers relaying e-mail to internal users without approval
Identify servers relaying e-mail to external users without approval",Splunk_Professional_Services,Mail,DS001Mail-ET03Send,DE001AssetInformation,Essential,Recommended Custom Use Cases
UC0004,Excessive number of emails sent from internal user,"Excessive e-mail generation by authorized users could indicate the presence of malware designed to send spam, or abuse company resources. An application owner, or admin could also be attempting to solve a business problem outside of company policy. This use case focuses on e-mail that is generated from endpoint networks. Operating systems should also be considered since servers can use user credentials to send messages; when this is allowed, false positives could be generated.",Splunk_Professional_Services,Mail,DS001Mail-ET03Send,DE001AssetInformation CAT-ASSET-svc:mailgw Exclude from detection DE002IdentityInformation CAT-IDENTITY-nha Exclude from detection,Maturing,Recommended Custom Use Cases
UC0005,System modification to insecure state,"Authorized, or unauthorized users may attempt to modify existing hardened configuration policies, or disable monitoring tools.",Splunk_Professional_Services,Authentication,DS020HostIntrustionDetection|DS003Authentication,DE001AssetInformation DDE012 Service State by platform DDE013 Critical Policy Objects,Edge,
UC0006,Windows security event log purged,Manually clearing the security event log on a windows system is a violation of policy and could indicate an attempt to cover malicious actions.,Splunk_Professional_Services,Splunk Audit Logs ,DS007AuditTrail-ET01Clear,DE001AssetInformation,Essential,
UC0007,Account logon successful - method outside of policy,"Logon event properties could indicate account misuse, or as an indication of compromise. Compare the identified purpose of the account with the context of the logon to determine its authority.

Accounts provisioned for human access should NOT be identified as logging on as a network or batch account in windows or as a cron task or service on Linux/Unix.
Accounts provisioned for NON-human access should NOT be identified as logging on to server operating systems interactively except for those accounts identified as privileged.
Accounts provisioned for service, batch or app pool usage should not logon interactively. Occurrences of this activity may indicate the account password has been compromised.
Accounts provisioned for service, batch or app pool usage should not logon to non-server operating systems.
Accounts identified as default where the authentication source is not an asset identified as a privilege credential management jump server",Splunk_Professional_Services,Authentication,DS003Authentication-ET01Success,DE001AssetInformation DE002IdentityInformation Category indicating exception list listing accounts to exclude from this search,Mature,Recommended Custom Use Cases
UC0008,Activity on previously inactive account,"Excluding computer accounts in active directory, an account with new activity that has not been active in the previous thirty days is suspicious.",Splunk_Professional_Services,Authentication,DS003Authentication-ET01Success,DE002IdentityInformation,Mature,Recommended Custom Use Cases
UC0009,Authenticated communication from a risky source network,"An Internet facing authentication system has allowed authenticated access from a risky source network. 

Always
Anonymizing services such as VPN providers, Proxy systems
Threat list identification of IP
B2B communications consider the following sources risky
Dial up
Dsl/cable/fios ISP
Mobile broadband
Satellite broadband
Education networks
B2E
Hosting provider networks
Education networks 
B2C
Hosting provider networks",Splunk_Professional_Services,Web,DS003Authentication-ET01Success|Web Server Logs|VPN Logs|Email|Instant Messaging Logs|File Transfer Servers,DE002IdentityInformation DDE003 Public Network attributes DDE004 Threat List,Mature,Recommended Custom Use Cases
UC0010,Detect unauthorized use of remote access technologies,Identify users gaining access via an unapproved or unknown access control. This could indicate malicious activity or an internal control failure.,Splunk_Professional_Services,Network Traffic,DS010NetworkCommunication-ET01TrafficAppAware,DE001AssetInformation Categorization providing information to identify authorized remote access systems DE002IdentityInformation Categorization providing information on which users may access an individual remote access technology,Mature,Recommended Custom Use Cases
