org_data_source,new_data_source,type
Active Directory*,DE001AssetInformation|DE002IdentityInformation,Data Source
AD,DE001AssetInformation|DE002IdentityInformation,Data Source
ALL,ALL,Data Source
Anti-Virus*,DS004EndPointAntiMalware,Data Source
Any Host Logs*,DS033SystemLogs,Data Source
APM Metrics*,DS034ApplicationLogs,Data Source
Application*,DS034ApplicationLogs,Data Source
Audit Trail*,DS007AuditTrail,Data Source
Authentication*,DS003Authentication,Data Source
Backup*,DS027EndpointBackup,Data Source
Badge Data,DS017PhysicalSecurity,Data Source
Bitcoin Logs*,Bitcoin Logs,Data Source
Change Management Records*,DS015ConfigurationManagement,Data Source
Cloud Data*,Cloud Data,Data Source
CloudData,CloudData,Data Source
Configuration Files*,DS015ConfigurationManagement,Data Source
Configuration Management*,DS015ConfigurationManagement,Data Source
CRM Logs*,DS034ApplicationLogs,Data Source
Customer SSO*,DS003Authentication,Data Source
Data Loss Prevention,DS016DataLossPrevention,Data Source
Database*,DS029DatabaseServer,Data Source
DE001AssetInformation*,DE001AssetInformation,Enrichment Data
DE002IdentityInformation*,DE002IdentityInformation,Enrichment Data
DE003ThreatIntelligence*,DE003ThreatIntelligence,Enrichment Data
DevOps*,DS034ApplicationLogs,Data Source
DHCP*,DS025IPAddressAssignment,Data Source
DLP*,DS016DataLossPrevention,Data Source
DNS*,DS002DNS,Data Source
DS001MAIL*,DS001MAIL,Data Source
DS002DNS*,DS002DNS,Data Source
DS003Authentication*,DS003Authentication,Data Source
DS004EndPointAntiMalware*,DS004EndPointAntiMalware,Data Source
DS005WebProxyRequest*,DS005WebProxyRequest,Data Source
DS006UserActivity*,DS006UserActivity,Data Source
DS007AuditTrail*,DS007AuditTrail,Data Source
DS008HRMasterData*,DS008IdentityAndAccount,Data Source
DS008IdentityAndAccount*,DS008IdentityAndAccount,Data Source
DS009EndPointIntel*,DS009EndPointIntel,Data Source
DS010NetworkCommunication*,DS010NetworkCommunication,Data Source
DS011MalwareDetonation*,DS011MalwareDetonation,Data Source
DS012NetworkIntrusionDetection*,DS012NetworkIntrusionDetection,Data Source
DS013TicketManagement*,DS013TicketManagement,Data Source
DS014WebServer*,DS014WebServer,Data Source
DS015ConfigurationManagement*,DS015ConfigurationManagement,Data Source
DS016DataLossPrevention*,DS016DataLossPrevention,Data Source
DS017PhysicalSecurity*,DS017PhysicalSecurity,Data Source
DS018VulnerabilityDetection*,DS018VulnerabilityDetection,Data Source
DS019PatchManagement*,DS019PatchManagement,Data Source
DS020HostIntrustionDetection*,DS020HostIntrustionDetection,Data Source
DS021Telephony*,DS021Telephony,Data Source
DS022Performance*,DS022Performance,Data Source
DS023CrashReporting*,DS023CrashReporting,Data Source
DS024ApplicationServer*,DS024ApplicationServer,Data Source
DS025IPAddressAssignment*,DS025IPAddressAssignment,Data Source
DS026WebApplicationFW*,DS026WebApplicationFW,Data Source
DS027EndpointBackup*,DS027EndpointBackup,Data Source
DS028NetworkDeviceAssociation*,DS028NetworkDeviceAssociation,Data Source
DS029DatabaseServer*,DS029DatabaseServer,Data Source
DS030NetworkLoadBalancer*,DS030NetworkLoadBalancer,Data Source
DS031ApplicationLoadBalancer*,DS031ApplicationLoadBalancer,Data Source
DS032DNSGlobalLoadBalancer*,DS032DNSGlobalLoadBalancer,Data Source
DS033SystemLogs*,DS033SystemLogs,Data Source
DS034ApplicationLogs*,DS034ApplicationLogs,Data Source
DS035NetworkFlow*,DS035NetworkFlow,Data Source
DS036ExternalAlert*,DS036ExternalAlert,Data Source
DS037WirelessIntrusion*,DS037WirelessIntrusion,Data Source
Email*,DS001MAIL,Data Source
Endpoint*,DS009EndPointIntel,Data Source
External Alarm*,DS036ExternalAlert,Data Source
Firewall*,DS010NetworkCommunication,Data Source
Host-based IDS*,DS020HostIntrustionDetection,Data Source
HR System*,DS008IdentityAndAccount,Data Source
HTTP*,DS014WebServer,Data Source
IDS or IPS*,DS012NetworkIntrusionDetection,Data Source
IP Address Assignment*,DS025IPAddressAssignment,Data Source
Malware Detonation*,DS011MalwareDetonation,Data Source
Microservices*,DS034ApplicationLogs,Data Source
Multiple*,Multiple,Data Source
Network*,DS010NetworkCommunication,Data Source
Operating System*,DS033SystemLogs,Data Source
Other*,Other,Data Source
Patch Management*,DS019PatchManagement,Data Source
Physical Access*,DS017PhysicalSecurity,Data Source
Physical Security*,DS017PhysicalSecurity,Data Source
Printer,Printer,Data Source
Production Change Events*,DS015ConfigurationManagement,Data Source
Proxy*,DS005WebProxyRequest,Data Source
Routers*,DS010NetworkCommunication,Data Source
Security Logs*,DS003Authentication,Data Source
SNTP Logs*,DS010NetworkCommunication,Data Source
Social Media Feed*,Social Media Feed,Data Source
Splunk Stream*,Splunk Stream,Data Source
Switches*,DS010NetworkCommunication,Data Source
Ticketing System*,DS013TicketManagement,Data Source
Vendor-Specific Data*,Vendor-Specific Data,Data Source
Virtualization*,DS034ApplicationLogs,Data Source
VPN*,DS025IPAddressAssignment,Data Source
Vulnerability Detection*,DS018VulnerabilityDetection,Data Source
Web Application Firewall*,DS026WebApplicationFW,Data Source
Web Proxy*,DS005WebProxyRequest,Data Source
Web Server*,DS014WebServer,Data Source
Windows Security*,DS003Authentication,Data Source
