Data_Source_Name,Data_Source_Type,Data_Source_Description
DE001AssetInformation,Enrichment Data,"Creating or having access to a  robust asset inventory is a foundational activity because it is critical for  a security team to know what it is defending before there can be any hope of  securing it. Indeed, many attackers succeed because they have a deeper  understanding of the target environment than the teams who are tasked with  defending them thus increasing their attack surface. The Assets and  Identities framework in Splunk Enterprise Security provides a simple yet very  useful way to store asset data and correlate it with activity observed across  the environment. An asset for the purpose of security monitoring is an  authorized presence on the internal network which may be identified as a  source or destination network address by IP address, MAC address, hostname,  or fully qualified domain name."
DE002IdentityInformation,Enrichment Data,An identity (for the purpose of  security monitoring) is an authorized or previously authorized presence on  the network which may be identified as a source or destination account.  Multiple records are grouped together by account to identify one human identity  or nonhuman application.
DE003ThreatIntelligence,Enrichment Data,"Threat Intelligence, a large  blanket term for numerous types of threat data, can be a useful reference to  know what external sources think of a particular IP address, file name, file  hash, domain name, SSL Certificate, or the like. Expand this section."
DS001MAIL,Data Source,"Email remains the primary form  of formal communication in most organizations. As such, mail server databases  and logs are some of the most important business records. Email messages and  activity logs can be required to maintain compliance with an organization's  information security, retention, and regulatory compliance processes, and may  be subpoenaed or legally held as part of civil or criminal investigations."
DS002DNS,Data Source,"The domain name system (DNS) is  the Internet's phone book, providing a mapping between system or network  resource names and IP addresses. DNS has a hierarchical name space that  typically includes three levels: a top-level domain (TLD) such as .com, .edu or  .gov; a second-level domain such as ""google"" or  ""Whitehouse;"" and a system level such as ""www"" or  ""mail."" DNS nameservers operate in this hierarchy either by acting  as authoritative sources for particular domains, such as a company or  governme"
DS003Authentication,Data Source,Authentication systems  establish the identity of an actor using one or more secret values i.e.  password and one time pin. The authentication system typically issues a new  secret which can be provided to applications i.e. Kerberos token or web  cookie to permit access to a secured resource.
DS004EndPointAntiMalware,Data Source,"The weakest link in corporate  security are individuals, and antivirus is one way to protect them from  performing inadvertently harmful actions. Whether it is clicking on an  untrustworthy web link, downloading malicious software or opening a  booby-trapped document (often one sent to them by an unsuspecting colleague),  antivirus can often prevent, mitigate or reverse the damage."
DS005WebProxyRequest,Data Source,"Web Proxies and some next  generation firewalls may act in transparent or explicit mode communicating  with (s) servers on behalf of a client. Using a number of related  technologies the request and response can and permitted or blocked based on  users role, site or resource category or attack indicator. Data logged in the  events can potentially be used in detective correlation."
DS006UserActivity,Data Source,"User activity within the  organization environment such as Create Read(display), update, delete, search  events must include critical data such as action, result, app, and a locator  uri allowing normalized search on the targets of activity."
DS007AuditTrail,Data Source,Audit trail events represent a  special class of events which can be triggered based on automated or user  interaction with systems and indicate a condition has occurred where the  integrity of the source is suspect at a point in time.
DS008IdentityAndAccount,Data Source,"Master Data system for Human  Resources may publish an event indicating critical changes impacting people  in an organization. Human Resources records include the entire employee  lifecycle including recruitment, selection, hiring, job position and classification,  promotion, salary, and bonuses, performance and ratings, disciplinary  actions, training and certifications, and separation or retirement. For  hourly employees, HR data often includes time and attendance records. HR  systems often feed payr"
DS009EndPointIntel,Data Source,"In this context, endpoint  refers to the security client software or agent installed on a client device  that logs security-related activity not otherwise generated by the host  operating system from the client OS, login, logout, shutdown events and  various applications such as the browser (Explorer, Edge), mail client  (Outlook) and Office applications. Endpoints also log their configuration and  various security parameters (certificates, local anti-malware signatures,  etc.), all of which is useful"
DS010NetworkCommunication,Data Source,"Network communication data is a  record of communication between two system commonly using TCP version 4 or  TCP version 6. Network communication can be recorded by a number of  technologies including host operating systems, firewalls, switches, routers,  deep packet inspection, and intrusion detection systems."
DS011MalwareDetonation,Data Source,Malware detonation systems also  are known as sandboxing systems execute potentially malicious code in a clean  environment for the purpose of collecting events related to their actions.  Using automated and manual analysis indicators can be determined which can  inform additional breach detection and prevention capability
DS012NetworkIntrusionDetection,Data Source,"What is Intrusion  Detection/Prevention? IDS and IPS are complementary, parallel security  systems that supplement firewalls – IDS by exposing successful network and  server attacks that penetrate a firewall, and IPS by providing more advanced  defenses against sophisticated attacks. IDS is typically placed at the  network edge, just inside a perimeter firewall, although some organizations  also put a system outside the firewall to provide greater intelligence about  all attacks. Likewise, IPS is typic"
DS013TicketManagement,Data Source,"Ticket management from tracking  systems responsible for the security, and operational health of the  environment(s) provides a rich resource for evaluating the effectiveness of  the security program, as well as the detective, and preventive controls in  place."
